,utility_name,month,twelve_months_out,diff,name-diff
0,Ameren,5/1/2021,2021-12-01,7,Ameren-7
1,BGE,5/1/2021,2021-12-01,7,BGE-7
2,FE CEI,5/1/2021,2021-12-01,7,FE CEI-7
3,UI,6/1/2021,2021-12-01,6,UI-6
4,AECO,5/1/2021,2021-12-01,7,AECO-7
5,Central Maine Power,12/1/2021,2021-12-01,0,Central Maine Power-0
6,ComEd,5/1/2021,2021-12-01,7,ComEd-7
7,Emera Bangor Hydro District,12/1/2021,2021-12-01,0,Emera Bangor Hydro District-0
8,PSNH,1/1/2021,2021-12-01,11,PSNH-11
9,PotEd,5/1/2021,2021-12-01,7,PotEd-7
10,WPP,2/1/2021,2021-12-01,10,WPP-10
11,AEP CSP,5/1/2021,2021-12-01,7,AEP CSP-7
12,DPL DE,5/1/2021,2021-12-01,7,DPL DE-7
13,PEPCO MD,5/1/2021,2021-12-01,7,PEPCO MD-7
14,Dayton,5/1/2021,2021-12-01,7,Dayton-7
15,Duke Ohio,5/1/2021,2021-12-01,7,Duke Ohio-7
16,Duquesne,5/1/2021,2021-12-01,7,Duquesne-7
17,Eversource West MA,6/1/2021,2021-12-01,6,Eversource West MA-6
18,Liberty Utilities NH,1/1/2021,2021-12-01,11,Liberty Utilities NH-11
19,AEP OP,5/1/2021,2021-12-01,7,AEP OP-7
20,Penelec,2/1/2021,2021-12-01,10,Penelec-10
21,DPL MD,5/1/2021,2021-12-01,7,DPL MD-7
22,Emera Maine Public District,12/1/2021,2021-12-01,0,Emera Maine Public District-0
23,Eversource CLP,6/1/2021,2021-12-01,6,Eversource CLP-6
24,Eversource East MA,6/1/2021,2021-12-01,6,Eversource East MA-6
25,FE TE,5/1/2021,2021-12-01,7,FE TE-7
26,Natgrid MA,4/1/2021,2021-12-01,8,Natgrid MA-8
27,PECO,2/1/2021,2021-12-01,10,PECO-10
28,PPL,5/1/2021,2021-12-01,7,PPL-7
29,PEPCO DC,5/1/2021,2021-12-01,7,PEPCO DC-7
30,Penn Power,2/1/2021,2021-12-01,10,Penn Power-10
31,RECO,5/1/2021,2021-12-01,7,RECO-7
32,FE OE,5/1/2021,2021-12-01,7,FE OE-7
33,JCPL,5/1/2021,2021-12-01,7,JCPL-7
34,MetEd,2/1/2021,2021-12-01,10,MetEd-10
35,National Grid RI,3/1/2021,2021-12-01,9,National Grid RI-9
36,PSEG,5/1/2021,2021-12-01,7,PSEG-7
37,Unitil NH,5/1/2021,2021-12-01,7,Unitil NH-7
